,supply_volume,demand_volume,demand_volume_energy,supply_volume_energy,price,max_price,min_price,node,product_start,product_end,only_hours,market_id,time,simulation
39,0,0,0,0,0,0,0,,2023-09-09 05:00:00,2023-09-09 06:00:00,,MI7,2023-09-09 05:00:00,retailer_world
40,0.1934,0.1934,0.1934,0.1934,105.99,105.99,105.99,,2023-09-09 06:00:00,2023-09-09 07:00:00,,MGP,2023-09-09 06:00:00,retailer_world
41,0,0,0,0,0,0,0,,2023-09-09 06:00:00,2023-09-09 07:00:00,,MI1,2023-09-09 06:00:00,retailer_world
42,0,0,0,0,0,0,0,,2023-09-09 06:00:00,2023-09-09 07:00:00,,MI2,2023-09-09 06:00:00,retailer_world
43,0,0,0,0,0,0,0,,2023-09-09 06:00:00,2023-09-09 07:00:00,,MI3,2023-09-09 06:00:00,retailer_world
44,0,0,0,0,0,0,0,,2023-09-09 06:00:00,2023-09-09 07:00:00,,MI4,2023-09-09 06:00:00,retailer_world
45,0,0,0,0,0,0,0,,2023-09-09 06:00:00,2023-09-09 07:00:00,,MI5,2023-09-09 06:00:00,retailer_world
46,0,0,0,0,0,0,0,,2023-09-09 06:00:00,2023-09-09 07:00:00,,MI6,2023-09-09 06:00:00,retailer_world
47,0,0,0,0,0,0,0,,2023-09-09 06:00:00,2023-09-09 07:00:00,,MI7,2023-09-09 06:00:00,retailer_world
48,0.16922,0.16922,0.16922,0.16922,128.08,128.08,128.08,,2023-09-09 07:00:00,2023-09-09 08:00:00,,MGP,2023-09-09 07:00:00,retailer_world
49,0,0,0,0,0,0,0,,2023-09-09 07:00:00,2023-09-09 08:00:00,,MI1,2023-09-09 07:00:00,retailer_world
50,0,0,0,0,0,0,0,,2023-09-09 07:00:00,2023-09-09 08:00:00,,MI2,2023-09-09 07:00:00,retailer_world
51,0,0,0,0,0,0,0,,2023-09-09 07:00:00,2023-09-09 08:00:00,,MI3,2023-09-09 07:00:00,retailer_world
52,0,0,0,0,0,0,0,,2023-09-09 07:00:00,2023-09-09 08:00:00,,MI4,2023-09-09 07:00:00,retailer_world
53,0,0,0,0,0,0,0,,2023-09-09 07:00:00,2023-09-09 08:00:00,,MI5,2023-09-09 07:00:00,retailer_world
54,0,0,0,0,0,0,0,,2023-09-09 07:00:00,2023-09-09 08:00:00,,MI6,2023-09-09 07:00:00,retailer_world
55,0,0,0,0,0,0,0,,2023-09-09 07:00:00,2023-09-09 08:00:00,,MI7,2023-09-09 07:00:00,retailer_world
56,0.16522,0.16522,0.16522,0.16522,128.08,128.08,128.08,,2023-09-09 08:00:00,2023-09-09 09:00:00,,MGP,2023-09-09 08:00:00,retailer_world
57,0,0,0,0,0,0,0,,2023-09-09 08:00:00,2023-09-09 09:00:00,,MI1,2023-09-09 08:00:00,retailer_world
58,0,0,0,0,0,0,0,,2023-09-09 08:00:00,2023-09-09 09:00:00,,MI2,2023-09-09 08:00:00,retailer_world
59,0,0,0,0,0,0,0,,2023-09-09 08:00:00,2023-09-09 09:00:00,,MI3,2023-09-09 08:00:00,retailer_world
60,0,0,0,0,0,0,0,,2023-09-09 08:00:00,2023-09-09 09:00:00,,MI4,2023-09-09 08:00:00,retailer_world
61,0,0,0,0,0,0,0,,2023-09-09 08:00:00,2023-09-09 09:00:00,,MI5,2023-09-09 08:00:00,retailer_world
62,0,0,0,0,0,0,0,,2023-09-09 08:00:00,2023-09-09 09:00:00,,MI6,2023-09-09 08:00:00,retailer_world
63,0,0,0,0,0,0,0,,2023-09-09 08:00:00,2023-09-09 09:00:00,,MI7,2023-09-09 08:00:00,retailer_world
64,0.21331,0.21331,0.21331,0.21331,128.08,128.08,128.08,,2023-09-09 09:00:00,2023-09-09 10:00:00,,MGP,2023-09-09 09:00:00,retailer_world
65,0,0,0,0,0,0,0,,2023-09-09 09:00:00,2023-09-09 10:00:00,,MI1,2023-09-09 09:00:00,retailer_world
66,0,0,0,0,0,0,0,,2023-09-09 09:00:00,2023-09-09 10:00:00,,MI2,2023-09-09 09:00:00,retailer_world
67,0,0,0,0,0,0,0,,2023-09-09 09:00:00,2023-09-09 10:00:00,,MI3,2023-09-09 09:00:00,retailer_world
68,0,0,0,0,0,0,0,,2023-09-09 09:00:00,2023-09-09 10:00:00,,MI4,2023-09-09 09:00:00,retailer_world
69,0,0,0,0,0,0,0,,2023-09-09 09:00:00,2023-09-09 10:00:00,,MI5,2023-09-09 09:00:00,retailer_world
70,0,0,0,0,0,0,0,,2023-09-09 09:00:00,2023-09-09 10:00:00,,MI6,2023-09-09 09:00:00,retailer_world
71,0,0,0,0,0,0,0,,2023-09-09 09:00:00,2023-09-09 10:00:00,,MI7,2023-09-09 09:00:00,retailer_world
72,0.21012,0.21012,0.21012,0.21012,128.08,128.08,128.08,,2023-09-09 10:00:00,2023-09-09 11:00:00,,MGP,2023-09-09 10:00:00,retailer_world
73,0,0,0,0,0,0,0,,2023-09-09 10:00:00,2023-09-09 11:00:00,,MI1,2023-09-09 10:00:00,retailer_world
74,0,0,0,0,0,0,0,,2023-09-09 10:00:00,2023-09-09 11:00:00,,MI2,2023-09-09 10:00:00,retailer_world
75,0,0,0,0,0,0,0,,2023-09-09 10:00:00,2023-09-09 11:00:00,,MI3,2023-09-09 10:00:00,retailer_world
76,0,0,0,0,0,0,0,,2023-09-09 10:00:00,2023-09-09 11:00:00,,MI4,2023-09-09 10:00:00,retailer_world
77,0,0,0,0,0,0,0,,2023-09-09 10:00:00,2023-09-09 11:00:00,,MI5,2023-09-09 10:00:00,retailer_world
78,0,0,0,0,0,0,0,,2023-09-09 10:00:00,2023-09-09 11:00:00,,MI6,2023-09-09 10:00:00,retailer_world
79,0,0,0,0,0,0,0,,2023-09-09 10:00:00,2023-09-09 11:00:00,,MI7,2023-09-09 10:00:00,retailer_world
80,0.21334,0.21334,0.21334,0.21334,128.08,128.08,128.08,,2023-09-09 11:00:00,2023-09-09 12:00:00,,MGP,2023-09-09 11:00:00,retailer_world
81,0,0,0,0,0,0,0,,2023-09-09 11:00:00,2023-09-09 12:00:00,,MI1,2023-09-09 11:00:00,retailer_world
