timestamp,mgp_volume_MWh,mi1_volume_MWh,mi2_volume_MWh,mi3_volume_MWh,mi4_volume_MWh,mi5_volume_MWh,mi6_volume_MWh,mi7_volume_MWh,mgp_price_EUR_MWh,mi1_price_EUR_MWh,mi2_price_EUR_MWh,mi3_price_EUR_MWh,mi4_price_EUR_MWh,mi5_price_EUR_MWh,mi6_price_EUR_MWh,mi7_price_EUR_MWh,mi_price_EUR_MWh,cluster_total_load_MW,actual_consumption_MWh,mi_volume_MWh,cluster_total_load_forecast_MW,contracted_volume_MWh,consumption_forecast_MWh,imbalance_MWh,imbalance_cost_EUR,imbalance_price_EUR_MWh,imbalance_value_gap_EUR,surplus_sold_MWh,surplus_sale_revenue_EUR,inventory_MWh,customer_revenue_EUR,hourly_cost_EUR,hourly_revenue_EUR,macrozone_price_EUR_MWh,macro_imbalance_MWh,imbalance_coeff,terna_penalty_EUR,terna_incentive_EUR,purchase_price_EUR_MWh,retail_tariff_EUR_MWh,hourly_profit_EUR
2023-09-09 01:00:00,0.16284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123449,0.123449,0.0,0.1302699999999999,0.16284,0.1302699999999999,-0.03939100000000001,1.9147596551444797,138.88304109673197,1.2956897818413695,0.03939100000000001,0.0,0.0,17.3535616267368,19.17417125514448,17.3535616267368,106.26802525817008,-113.237,0.4,0.10997325619087506,0.0,105.99,140.57271931515686,-1.8206096284076807
2023-09-09 02:00:00,0.16284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11381,0.11381,0.0,0.1302699999999999,0.16284,0.1302699999999999,-0.04903000000000002,2.4771800401242148,144.35360508867535,1.8809675574977534,0.04903000000000002,0.0,0.0,16.063954698489926,19.736591640124214,16.063954698489926,97.4882272783116,-78.868,0.4,0.1703793112875001,0.0,105.99,141.14712853431092,-3.6726369416342877
2023-09-09 03:00:00,0.11073,0.0,0.000283,0.0,0.0,0.0,0.0,0.000283,105.99,0.0,0.0,0.0,0.0,0.0,0.0,106.29,0.0,0.10651,0.10651,0.0,0.1302699999999999,0.11129599999999999,0.1302699999999999,-0.004785999999999999,0.2208009690145829,131.81360456962747,0.12487798617894184,0.004785999999999999,0.0,0.0,14.864714882093361,11.987153739014582,14.864714882093361,102.7727765759313,6.552,0.4,0.0,0.0007816602884999994,105.72125476207589,139.56168324188678,2.877561143078779
2023-09-09 04:00:00,0.16284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09731,0.09731,0.0,0.1302699999999999,0.16284,0.1302699999999999,-0.06553000000000002,2.948694746719878,128.5646594458319,1.4793174334853647,0.06553000000000002,0.0,0.0,13.573702736120758,20.208106346719877,13.573702736120758,96.19509138542033,221.957,0.4,0.0,0.14653892321250003,105.99,139.48928924181234,-6.634403610599119
2023-09-09 05:00:00,0.16284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09759,0.09759,0.0,0.1302699999999999,0.16284,0.1302699999999999,-0.06525000000000002,3.397956153851542,148.7884468024758,2.792598653861546,0.06525000000000002,0.0,0.0,13.819991874962627,20.657367753851542,13.819991874962627,94.64088299381052,-66.91300000000001,0.4,0.30175474218750015,0.0,105.99,141.61278691425994,-6.837375878888915
2023-09-09 06:00:00,0.11073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10451,0.10451,0.0,0.1302699999999999,0.11073,0.1302699999999999,-0.006219999999999989,0.28228273549218186,129.6659327019671,0.1472643014062352,0.006219999999999989,0.0,0.0,14.590110495801673,12.01855543549218,14.590110495801673,107.79492824508225,33.314,0.4,0.0,0.001320241649999995,105.99,139.60492293370655,2.5715550603094925
2023-09-09 07:00:00,0.16284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113959,0.113959,0.0,0.1302699999999999,0.16284,0.1302699999999999,-0.04888100000000001,2.674239222915732,156.31193089431372,1.3800050140449485,0.04888100000000001,0.0,0.0,18.745429609942438,23.53078642291574,18.745429609942438,138.41608951421583,-25.886000000000003,0.4,0.12544098845250004,0.0,128.08,164.49275274390294,-4.785356812973301
2023-09-09 08:00:00,0.16284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132141,0.132141,0.0,0.1302699999999999,0.16284,0.1302699999999999,-0.030699000000000004,1.7076938339495458,158.93433792162105,0.9471973198558444,0.030699000000000004,0.0,0.0,21.7726222264666,22.56424103394955,21.7726222264666,125.01000344594748,-26.32499999999999,0.4,0.04947750155250001,0.0,128.08,164.76810548177022,-0.7916188074829513
2023-09-09 09:00:00,0.16284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1697099999999999,0.1697099999999999,0.0,0.1302699999999999,0.16284,0.1302699999999999,0.006869999999999876,1.1022219074856285,160.43987008524724,-0.22231230748564443,0.0,0.0,0.0,33.29913190565017,21.958769107485633,33.29913190565017,112.2685972868819,19.043000000000006,0.4,0.007079534999999744,0.0,128.08,196.21196102557417,11.340362798164538
2023-09-09 10:00:00,0.16284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1547599999999999,0.1547599999999999,0.0,0.1302699999999999,0.16284,0.1302699999999999,-0.008080000000000115,0.45678418132067933,161.52198773715446,0.2702112609162118,0.008080000000000115,0.0,0.0,25.541560796331197,21.313331381320683,25.541560796331197,110.01917065711392,-34.85700000000001,0.4,0.0034275360000000973,0.0,128.08,165.03980871240122,4.228229415010514
