time,power,energy_generation_costs,unit,energy_cashflow,simulation
2023-09-10 11:00:00,-0.23139,24.525,-24.525,TernaAgent,retailer_world
2023-09-10 12:00:00,0.17552,23.254,23.254,Retailer,retailer_world
2023-09-10 12:00:00,-0.2194,23.254,-23.254,TernaAgent,retailer_world
2023-09-10 13:00:00,0.15949,21.13,21.13,Retailer,retailer_world
2023-09-10 13:00:00,-0.19936,21.13,-21.13,TernaAgent,retailer_world
2023-09-10 14:00:00,0.17233,15.525,15.525,Retailer,retailer_world
2023-09-10 14:00:00,-0.14648,15.525,-15.525,TernaAgent,retailer_world
2023-09-10 15:00:00,0.15592,18.195,18.195,Retailer,retailer_world
2023-09-10 15:00:00,-0.17167,18.195,-18.195,TernaAgent,retailer_world
2023-09-10 16:00:00,0.14795,19.602,19.602,Retailer,retailer_world
2023-09-10 16:00:00,-0.18494,19.602,-19.602,TernaAgent,retailer_world
2023-09-10 17:00:00,0.15645,20.728,20.728,Retailer,retailer_world
2023-09-10 17:00:00,-0.19556,20.728,-20.728,TernaAgent,retailer_world
2023-09-10 18:00:00,0.15341,20.325,20.325,Retailer,retailer_world
2023-09-10 18:00:00,-0.19176,20.325,-20.325,TernaAgent,retailer_world
2023-09-10 19:00:00,0.1394,18.469,18.469,Retailer,retailer_world
2023-09-10 19:00:00,-0.17425,18.469,-18.469,TernaAgent,retailer_world
2023-09-10 20:00:00,0.14446,13.015,13.035,Retailer,retailer_world
2023-09-10 20:00:00,-0.12298,13.015,-13.035,TernaAgent,retailer_world
2023-09-10 21:00:00,0.14714,19.494,19.494,Retailer,retailer_world
2023-09-10 21:00:00,-0.18393,19.494,-19.494,TernaAgent,retailer_world
2023-09-10 22:00:00,0.13952,18.485,18.485,Retailer,retailer_world
2023-09-10 22:00:00,-0.1744,18.485,-18.485,TernaAgent,retailer_world
2023-09-10 23:00:00,0.14108,18.691,18.691,Retailer,retailer_world
2023-09-10 23:00:00,-0.17635,18.691,-18.691,TernaAgent,retailer_world
2023-09-11 00:00:00,0.1225,16.23,16.23,Retailer,retailer_world
2023-09-11 00:00:00,-0.15312,16.23,-16.23,TernaAgent,retailer_world
2023-09-11 01:00:00,0.11692,15.491,15.491,Retailer,retailer_world
2023-09-11 01:00:00,-0.14615,15.491,-15.491,TernaAgent,retailer_world
2023-09-11 02:00:00,0.1167,10.514,10.543,Retailer,retailer_world
2023-09-11 02:00:00,-0.09947,10.514,-10.543,TernaAgent,retailer_world
2023-09-11 03:00:00,0.09983,13.226,13.226,Retailer,retailer_world
2023-09-11 03:00:00,-0.12479,13.226,-13.226,TernaAgent,retailer_world
2023-09-11 04:00:00,0.10328,13.683,13.683,Retailer,retailer_world
2023-09-11 04:00:00,-0.1291,13.683,-13.683,TernaAgent,retailer_world
2023-09-11 05:00:00,0.10046,13.31,13.31,Retailer,retailer_world
2023-09-11 05:00:00,-0.12558,13.31,-13.31,TernaAgent,retailer_world
2023-09-11 06:00:00,0.10933,14.485,14.485,Retailer,retailer_world
2023-09-11 06:00:00,-0.13666,14.485,-14.485,TernaAgent,retailer_world
2023-09-11 07:00:00,0.10036,16.068,16.068,Retailer,retailer_world
2023-09-11 07:00:00,-0.12545,16.068,-16.068,TernaAgent,retailer_world
2023-09-11 08:00:00,0.09286,13.761,13.761,Retailer,retailer_world
2023-09-11 08:00:00,-0.11607,13.761,-13.761,TernaAgent,retailer_world
2023-09-11 09:00:00,0.10092,14.955,14.955,Retailer,retailer_world
