ANNO,MESE,PUN MENSILE FU,PUN MENSILE PK,PUN MENSILE FP,PUN MENSILE F1,PUN MENSILE F2,PUN MENSILE F3
2019,1,67.6510700940861,75.7547481884058,62.8719778846153,76.6420269834711,72.4794673563219,58.4560923780487
2019,2,57.6654156994047,62.9781506666667,54.7138962731482,61.7875975909091,63.6512946341463,51.10790125
2019,3,52.8767299057873,57.2554231349207,50.6294168839104,55.61,57.81,48.15
2019,4,53.3545451944444,57.6370604924243,50.8751942324561,59.2010967272727,59.1399686585366,46.7026083333334
2019,5,50.674200672043,53.3927505072464,49.0709533333333,53.5978223553719,56.0895814942529,45.6443448475609
2019,6,48.5825808472222,54.7760296666667,45.4858564375,54.0159986818182,52.4905812777778,42.64885584375
2019,7,52.3132409139784,58.2741878985508,48.7978106410257,57.6358922924901,56.5139,45.5871230448718
2019,8,49.5440491666667,51.7280920075757,48.3428256041666,51.5402413852814,54.7801305945946,45.1849166463415
2019,9,51.1790412916667,58.501103531746,47.2363923931624,57.3955377922078,56.3543703550296,43.95828721875
2019,10,52.821668,61.2366862681159,47.8695463752665,60.1716303557312,58.3892790502794,43.6966109584665
2019,11,48.1585934027778,57.6003718253968,43.0745588675214,57.7292431818182,52.4326143333333,39.17463490625
2019,12,43.3361533467742,51.1993729924242,39.0113825416667,53.0304669090909,47.9138739634146,35.3264445555555
2020,1,47.4677034811828,53.8328192028985,43.7139172863248,54.5281744155844,51.6620869822485,40.6659023255814
2020,2,39.3020609913793,44.4651044583334,36.5846696929824,43.596521,43.4072973888889,33.6138050675676
2020,3,31.9899263122477,36.2662018939394,29.6330646137787,34.7645731818182,39.1229837931034,26.1409460550459
2020,4,24.8053852361111,25.8802090530303,24.1831188157895,25.7787433333333,31.3128218300654,21.1729938095238
2020,5,21.787886733871,22.749129484127,21.2955428861789,22.9860962272727,26.2043156111111,18.710667877907
2020,6,28.0081385694445,30.5106677272727,26.5593058991228,30.4392141991342,31.211160887574,24.5616096875
2020,7,38.0058266666667,43.6513879710145,34.6763930769231,43.0835675494071,41.4272805027933,31.9253501282051
2020,8,40.3185624193549,44.677767936508,38.0857986178862,43.4656402597403,46.6906663313609,35.0747817732558
2020,9,48.8007089722222,57.3836440909091,43.8316412719298,55.7203299586777,54.4876966666667,40.0372743092105
2020,10,43.568821919463,50.7279762121212,39.6394732016632,49.423837768595,48.5831236842105,35.9981153035144
2020,11,48.7476506666667,57.6899696031746,43.9325558547008,57.1458480519481,52.4767417159763,40.71577571875
2020,12,54.0362700134408,67.1494365217392,46.3028641239316,68.4609281818182,59.4257728104575,42.489909
2021,1,60.7123570430107,72.4169206349206,54.7173366666667,73.9175154545455,63.7922002857143,51.5488829444445
2021,2,56.5727344940476,67.4398515416667,50.5354472453704,66.620842909091,62.7069106707317,45.4040235763889
2021,3,60.3912451816958,64.5746716304347,57.9188132762313,62.4484322727272,67.4107866666667,55.1336320489297
2021,4,69.018509375,73.1752821969698,66.6119566885964,73.3867894372295,75.3895886390532,62.50043096875
2021,5,69.9080078494624,75.2715479761905,67.1608287601626,74.2703127272728,77.9655592307693,63.0201630523256
2021,6,84.7970283472223,90.8041394318181,81.3192271929825,90.7843167532467,91.8427150887574,76.75395121875
2021,7,102.65582530914,111.306846818182,97.8977634791666,110.47070768595,108.358077157895,93.1217567628205
2021,8,112.395107083333,118.440632689394,109.070068,116.86118677686,121.485572643678,104.277630579268
2021,9,158.585336430556,169.948171590909,152.006852916667,167.389023553719,167.532853678161,146.455861809211
2021,10,217.625827033557,242.93006468254,204.691409411765,238.804723246753,235.641662540541,192.625053191489
2021,11,225.952805319444,265.027294848485,203.330732434211,268.0968504329,232.716683609467,191.95789953125
2021,12,281.241549341398,326.129370036232,254.76924482906,327.503346694215,295.647513734177,242.080219883721
2022,1,224.500693037635,258.484983611111,207.094105182927,257.191040272727,242.351310731707,196.391310555556
2022,2,211.690384285714,228.110949375,202.567848125,224.882703409091,225.678609146341,193.647401354167
2022,3,308.068768021534,326.78782192029,297.005686916488,320.077519407114,329.115727150838,286.185746205788
2022,4,245.974760097222,252.49041015873,242.466333141026,256.22733507177,266.584847828571,228.862993660714
2022,5,230.05624594086,241.821768030303,223.585208791667,237.214001776859,253.517336206897,212.329396493902
2022,6,271.311344069445,296.671697386364,256.629034254386,297.170536060606,293.3075,241.02752
2022,7,441.645199395161,500.594287857143,411.451763841464,495.242658268398,473.258079405405,386.067773170732
2022,8,543.154071532258,558.616367536232,534.035281581196,553.959846528926,602.779411551724,503.551002286585
2022,9,429.920278083333,471.198428484849,406.022401535088,460.242635247934,471.340916954023,382.074220197368
2022,10,211.49738224161,245.578032222222,194.076847160243,235.872167402597,242.144952756757,177.149735075988
2022,11,224.511586222222,266.485062386364,200.211152653509,272.347361082251,240.709253017752,181.42574346875
2022,12,294.907461129032,356.516982916667,261.022224145834,360.725607090909,309.955446444444,244.940515
2023,1,174.490146290323,196.157998333333,162.572827666667,196.237411904762,184.241724023669,155.095858517442
2023,2,161.071269375,177.3547475,152.024892638889,174.327656772727,172.885965,144.217049548611
2023,3,136.383786985195,145.210775724638,131.16697993576,139.78205715415,151.95461396648,124.657290578778
2023,4,134.971556736111,134.6568575,135.128906354167,135.545486818182,152.048097529412,126.401528068182
2023,5,105.727997069892,112.521559927536,101.721536923077,109.986317644628,119.812269597701,95.1146525609757
2023,6,105.341167666667,108.940251931818,103.257487302632,108.20216961039,117.964413076923,96.6092304062501
2023,7,112.090048991935,117.720539285714,109.206139329268,114.907525584416,122.320165783784,104.335754176829
